PLAYER_NAME,SHOT_MADE_FLAG,LOC_X,LOC_Y,high_pres
Patrick Patterson,1,-179.0,-1.0,0
Jordan Hill,0,17.0,7.0,0
Terrence Ross,0,-9.0,21.0,0
Bismack Biyombo,1,-12.0,16.0,0
Rodney Stuckey,1,9.0,7.0,0
Rodney Stuckey,0,173.0,65.0,0
Terrence Ross,0,169.0,51.0,0
Bismack Biyombo,1,0.0,1.0,0
Rodney Stuckey,0,-158.0,115.0,0
Patrick Patterson,0,176.0,170.0,0
Paul George,0,-22.0,7.0,0
DeMarre Carroll,0,50.0,11.0,0
Kyle Lowry,0,15.0,7.0,0
George Hill,1,-240.0,-1.0,0
DeMar DeRozan,0,-197.0,47.0,0
Bismack Biyombo,1,-6.0,16.0,0
DeMar DeRozan,1,-22.0,21.0,0
George Hill,1,-233.0,11.0,0
DeMarre Carroll,0,-114.0,219.0,0
Kyle Lowry,0,-124.0,146.0,0
Kyle Lowry,1,0.0,16.0,0
DeMarre Carroll,0,22.0,7.0,0
DeMar DeRozan,0,35.0,139.0,0
Paul George,1,-120.0,31.0,0
Ian Mahinmi,1,-20.0,11.0,0
Cory Joseph,0,-25.0,13.0,0
Paul George,1,-29.0,11.0,0
DeMar DeRozan,1,107.0,116.0,0
Monta Ellis,0,46.0,46.0,0
Paul George,0,-174.0,183.0,0
Paul George,0,-66.0,232.0,0
Clint Capela,0,-22.0,31.0,0
Trevor Ariza,0,-148.0,8.0,0
Gary Harris,1,0.0,1.0,0
Gary Harris,0,223.0,13.0,0
Kenneth Faried,1,12.0,-1.0,0
Terrence Jones,0,-71.0,21.0,0
Danilo Gallinari,1,0.0,1.0,0
Danilo Gallinari,0,37.0,223.0,0
Joffrey Lauvergne,1,-24.0,3.0,0
Terrence Jones,0,-20.0,11.0,0
James Harden,0,182.0,75.0,0
Kenneth Faried,1,0.0,1.0,0
James Harden,0,137.0,200.0,0
Ty Lawson,1,191.0,154.0,0
Kenneth Faried,1,28.0,97.0,0
Ty Lawson,0,94.0,70.0,0
Trevor Ariza,0,0.0,1.0,0
Joffrey Lauvergne,1,9.0,3.0,0
Montrezl Harrell,1,17.0,2.0,0
Patrick Beverley,1,-240.0,7.0,0
James Harden,0,-29.0,23.0,0
Trevor Ariza,0,-173.0,188.0,0
Emmanuel Mudiay,1,-228.0,124.0,0
Joffrey Lauvergne,1,-110.0,105.0,0
James Harden,0,17.0,7.0,0
Gary Harris,1,-243.0,57.0,0
Patrick Beverley,0,223.0,2.0,0
Danilo Gallinari,0,0.0,13.0,0
Montrezl Harrell,1,0.0,1.0,0
Danilo Gallinari,0,22.0,31.0,0
Montrezl Harrell,1,-24.0,7.0,0
Will Barton,1,0.0,1.0,0
James Harden,1,-17.0,3.0,0
Darrell Arthur,0,20.0,0.0,0
Will Barton,0,-12.0,249.0,0
Jason Terry,0,61.0,252.0,0
Emmanuel Mudiay,0,-55.0,154.0,0
Darrell Arthur,0,-17.0,-1.0,0
